engineer,merged_prs,weighted_pr_output,avg_cycle_time_hours,median_cycle_time_hours,complex_pr_count,bug_fix_prs,hotfix_prs,refactor_prs,infra_prs,core_area_touch_count,reviews_given,distinct_prs_reviewed,unblocks,review_response_time_hours,distinct_engineers_helped,weighted_pr_output_norm,merged_prs_norm,avg_cycle_time_hours_inv_norm,unblocks_norm,reviews_given_norm,distinct_engineers_helped_norm,bug_fix_prs_norm,hotfix_prs_norm,core_area_touch_count_norm,refactor_prs_norm,product_score,team_score,technical_score,impact_score,impact_rank,summary
hpouillot,6.0,6.9136597375265545,23.913194444444446,21.0775,0.0,6.0,0.0,0.0,0.0,6.0,21.0,16.0,11.0,13.52936274509804,6.0,0.44859692180676236,0.45112781954887277,0.5078508754566151,0.4373757455268391,0.5737704918032792,0.6666666666666666,0.7361963190184057,0.0,0.5454545454545454,0.0,0.46120698185936604,0.535616899694728,0.40356943669827133,0.4662386936616462,27,"Shipped 6 merged PRs (avg cycle time 24h). Reviewed 21 PRs, across 6 contributors, unblocking 11 merges. Technical: 6 bug fixes, 6 core-area touches. Strongest signal: reviewing & unblocking others."
skoob13,7.0,8.719310262671987,14.35595238095238,1.3291666666666666,1.0,3.0,0.0,1.0,0.0,3.0,13.0,12.0,10.0,1.588472222222222,4.0,0.5657576294768791,0.5263157894736848,0.7045451450375486,0.3976143141153083,0.35519125683060143,0.4444444444444444,0.3680981595092028,0.0,0.2727272727272727,1.0,0.5816825805880548,0.3965949295121803,0.35178471834913566,0.4571869265936167,28,"Shipped 7 merged PRs (avg cycle time 14h). including 1 complex cross-directory change. Reviewed 13 PRs, across 4 contributors, unblocking 10 merges. Technical: 3 bug fixes, 3 core-area touches. Strongest signal: shipping code."
arthurdedeus,10.0,12.307471161673318,25.35597222222222,23.334444444444443,1.0,3.0,0.0,0.0,0.0,5.0,10.0,7.0,6.0,14.721604938271604,3.0,0.7985775823453217,0.7518796992481213,0.47815756861324843,0.23856858846918497,0.27322404371584724,0.3333333333333333,0.3680981595092028,0.0,0.45454545454545453,0.0,0.7204842146697469,0.27265641125922074,0.23814835471277204,0.4414351156594966,29,"Shipped 10 merged PRs (avg cycle time 25h). including 1 complex cross-directory change. Reviewed 10 PRs, across 3 contributors, unblocking 6 merges. Technical: 3 bug fixes, 5 core-area touches. Strongest signal: shipping code."
danielcarletti,6.0,6.484287330990529,21.419722222222223,9.495972222222223,0.0,6.0,0.0,0.0,0.0,5.0,17.0,14.0,11.0,8.989252136752135,4.0,0.4207368379736906,0.45112781954887277,0.5591681586448097,0.4373757455268391,0.46448087431694035,0.4444444444444444,0.7361963190184057,0.0,0.45454545454545453,0.0,0.457540396580469,0.44727445889327083,0.3853876185164532,0.4328147818551048,30,"Shipped 6 merged PRs (avg cycle time 21h). Reviewed 17 PRs, across 4 contributors, unblocking 11 merges. Technical: 6 bug fixes, 5 core-area touches. Strongest signal: shipping code."
TueHaulund,8.0,9.856603530089146,21.163854166666667,3.869583333333333,2.0,5.0,0.0,0.0,0.0,7.0,6.0,5.0,6.0,2.4025925925925926,2.0,0.6395515791828011,0.601503759398497,0.5644340899628876,0.23856858846918497,0.16393442622950835,0.2222222222222222,0.6134969325153381,0.0,0.6363636363636364,0.0,0.6131137354035272,0.2120917482355413,0.37267150027886253,0.42067446871573205,31,"Shipped 8 merged PRs (avg cycle time 21h). including 2 complex cross-directory changes. Reviewed 6 PRs, across 2 contributors, unblocking 6 merges. Technical: 5 bug fixes, 7 core-area touches. Strongest signal: shipping code."
z0br0wn,4.0,4.828087835288979,11.083472222222223,9.700277777777778,0.0,3.0,0.0,0.0,0.0,2.0,27.0,11.0,16.0,8.119270833333333,5.0,0.31327334918830924,0.3007518796992485,0.7718949191945018,0.6361829025844933,0.7377049180327876,0.5555555555555556,0.3680981595092028,0.0,0.18181818181818182,0.0,0.40124122234282955,0.6464826704617472,0.1836029001673175,0.40952216012585124,32,"Shipped 4 merged PRs (avg cycle time 11h). Reviewed 27 PRs, across 5 contributors, unblocking 16 merges. Technical: 3 bug fixes, 2 core-area touches. Strongest signal: reviewing & unblocking others."
andehen,8.0,9.190497746540395,9.80486111111111,2.4476388888888887,0.0,2.0,0.0,0.0,0.0,8.0,7.0,7.0,7.0,0.9022222222222221,3.0,0.5963309094591049,0.601503759398497,0.7982095690597343,0.2783300198807158,0.19125683060109308,0.3333333333333333,0.24539877300613522,0.0,0.7272727272727273,0.0,0.6382584963610485,0.26595889145998336,0.24361405465699956,0.4081752823795143,33,"Shipped 8 merged PRs (avg cycle time 10h). Reviewed 7 PRs, across 3 contributors, unblocking 7 merges. Technical: 2 bug fixes, 8 core-area touches. Strongest signal: shipping code."
nickbest-ph,7.0,8.731115611412234,16.725714285714286,2.7030555555555558,1.0,4.0,0.0,0.0,0.0,6.0,8.0,6.0,8.0,1.4370833333333333,2.0,0.5665236265474298,0.5263157894736848,0.6557739007977064,0.31809145129224664,0.2185792349726778,0.2222222222222222,0.49079754601227044,0.0,0.5454545454545454,0.0,0.5723113302753616,0.2642704791288699,0.30540992749581725,0.3998286540975508,34,"Shipped 7 merged PRs (avg cycle time 17h). including 1 complex cross-directory change. Reviewed 8 PRs, across 2 contributors, unblocking 8 merges. Technical: 4 bug fixes, 6 core-area touches. Strongest signal: shipping code."
benjackwhite,6.0,7.818926082554054,39.620694444444446,20.650277777777777,1.0,2.0,0.0,1.0,0.0,4.0,10.0,9.0,6.0,0.6564814814814814,6.0,0.5073356667279698,0.45112781954887277,0.1845802897669997,0.23856858846918497,0.27322404371584724,0.6666666666666666,0.24539877300613522,0.0,0.36363636363636365,1.0,0.42592223718204664,0.35598974459255406,0.32088678192972686,0.373431852829503,35,"Shipped 6 merged PRs (avg cycle time 40h). including 1 complex cross-directory change. Reviewed 10 PRs, across 6 contributors, unblocking 6 merges. Technical: 2 bug fixes, 4 core-area touches. Strongest signal: shipping code."
sortafreel,2.0,2.6716580300593646,13.834305555555556,13.834305555555556,1.0,0.0,0.0,0.0,1.0,1.0,59.0,11.0,23.0,6.838189655172414,5.0,0.17335211941363585,0.15037593984962425,0.7152809766319563,0.9145129224652091,1.0,0.5555555555555556,0.0,0.0,0.09090909090909091,0.0,0.2748450369880965,0.8504197039982329,0.018181818181818184,0.3705184714492539,36,"Shipped 2 merged PRs (avg cycle time 14h). including 1 complex cross-directory change. Reviewed 59 PRs, across 5 contributors, unblocking 23 merges. Technical: 1 core-area touch. Strongest signal: reviewing & unblocking others."
